key,field1,field2,frequence field 1,frequece field2,totale,score,rank,,,,,,
apache,Haozhi likes OpenSource,"Java, Node.js, Apache Spark, Apache Solr, Apache NiFi",0,3,4,1.0154874,,,,,,,
apache,Apache Nifi and Apache Tomcat,"C, Java, PHP, HTML5",,,,0.9355361,,,,,,,
apache,K¨¦vin works on Apache Solr,"C, Java, MNT, HTML5",,,,0.674745,,,,,,,
apache,Li works on Apache and Java,"C, Java, PHP, HTML5",,,,0.674745,,,,,,,
,Haozhi likes OpenSource,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,"{ ""title"":""Haozhi likes OpenSource"", ""skills"":""Java, Node.js, Apache Spark, Apache Solr, Apache NiFi"", ""score"":1.0154874}, { ""title"":""Apache Nifi and Apache Tomcat"", ""skills"":""C, Java, PHP, HTML5"", ""score"":0.9355361}, { ""title"":""K¨¦vin works on Apache Solr"", ""skills"":""C, Java, MNT, HTML5"", ""score"":0.674745}, { ""title"":""Li works on Apache and Java"", ""skills"":""C, Java, PHP, HTML5"", ""score"":0.674745}] }"